pl_rade,pl_bmasse,pl_eqt,pl_orbper,st_teff,st_rad
2.28,5434.7,795.0,10.50682565,5614.0,0.95
2.28,6165.6,795.0,326.03,4742.0,19.0
2.28,3432.4,795.0,10.50682565,5614.0,0.95
2.28,4684.8142,795.0,516.21997,4213.0,29.79
2.28,3337.07,795.0,516.22,4340.0,24.08
2.28,1017.0,795.0,10.50682565,5614.0,0.95
2.28,1525.5,795.0,185.84,4813.0,11.0
2.28,2559.47216,795.0,1765.0389,5614.0,0.95
2.28,1440.663,795.0,10.50682565,5614.0,0.95
2.28,1474.67,795.0,1773.4,5614.0,0.95
2.28,1506.45,795.0,1796.4,5255.0,0.95
2.28,1541.46777,795.0,1766.41,5314.94,1.0
2.28,1554.12,795.0,1724.0,5614.0,0.95
2.28,1481.0878,795.0,1773.40002,5338.0,0.93
2.28,1581.138,795.0,1766.0,5280.0,1.0
2.28,476.7,795.0,800.8,5760.0,0.95
2.28,533.93,795.0,799.5,5614.0,0.95
2.28,565.7374,795.0,798.5,5750.0,1.13
2.28,556.83537,795.0,799.45,5711.97,1.16
2.28,533.9544,795.0,798.5,5674.0,0.95
2.28,533.93,795.0,799.5,5747.0,1.13
2.28,1373.01872,795.0,578.38,4157.0,25.92
2.28,3127.3,795.0,10.50682565,5614.0,0.95
2.28,3273.5,795.0,993.3,4979.0,8.5
2.28,3000.0,1700.0,10.50682565,4060.0,0.95
18.647,2543.0,1800.0,10.50682565,4060.0,1.35
2.28,4000.0,1700.0,10.50682565,4060.0,0.95
2.28,3000.0,1800.0,10.50682565,3993.0,1.31
2.28,289.2253,795.0,30.3506,4893.0,10.64
2.28,632.46,795.0,452.8,5098.0,4.9
2.28,273.32,795.0,883.0,5098.0,4.9
2.28,1271.31363,1450.0,10.50682565,3100.0,0.84
2.28,4131.79,795.0,10.50682565,5614.0,0.95
11.209,232.01474,1600.0,10.50682565,3309.0,0.37
2.28,7786.5,795.0,10.50682565,3530.0,0.95
16.141,4417.837,795.0,10.50682565,3064.0,0.28
2.28,2383.6,795.0,10.50682565,5614.0,0.95
2.28,1589.15,1250.0,10.50682565,5614.0,0.95
2.28,1271.0,1150.0,10.50682565,2825.0,0.22
